year,month,bald_eagle_count,osprey_count,temperature,runsize,spawners,predicted_osprey_count,osprey_count_lag1,temp_lag1,fish_lag1,osprey_count_lag2,temp_lag2,fish_lag2,osprey_count_lag3,temp_lag3,fish_lag3,osprey_count_roll3,temp_roll3,fish_roll3
2004,11,624.0,1326.0,0.31,860938.0852230769,398057.13261538465,193.44,1300.0,0.54,860938.0852230769,1651.0,0.38,860938.0852230769,1157.0,0.4,860938.085223077,1425.6666666666667,0.40999999999999986,860938.0852230769
2004,12,897.0,780.0,0.18,860938.0852230769,398057.13261538465,161.46,1326.0,0.31,860938.0852230769,1300.0,0.54,860938.0852230769,1651.0,0.38,860938.0852230769,1135.3333333333333,0.3433333333333332,860938.0852230769
2005,1,1190.0,1862.0,0.52,1565365.7138357144,1112498.3244857143,618.8000000000001,780.0,0.18,860938.0852230769,1326.0,0.31,860938.0852230769,1300.0,0.54,860938.0852230769,1322.6666666666667,0.3366666666666665,1095747.2947606228
2005,2,1512.0,966.0,0.49000000000000005,1565365.7138357144,1112498.324485714,740.8800000000001,1862.0,0.52,1565365.7138357144,780.0,0.18,860938.0852230769,1326.0,0.31,860938.0852230769,1202.6666666666667,0.3966666666666665,1330556.5042981685
2005,3,364.0,1316.0,0.3,1565365.7138357144,1112498.3244857143,109.2,966.0,0.49000000000000005,1565365.7138357144,1862.0,0.52,1565365.7138357144,780.0,0.18,860938.0852230769,1381.3333333333333,0.43666666666666654,1565365.7138357144
2005,4,308.0,1470.0,0.38,1565365.7138357142,1112498.3244857143,117.04,1316.0,0.3,1565365.7138357144,966.0,0.49000000000000005,1565365.7138357144,1862.0,0.52,1565365.7138357144,1250.6666666666667,0.38999999999999985,1565365.7138357144
2005,5,280.0,1778.0,0.43,1565365.7138357142,1112498.3244857143,120.39999999999999,1470.0,0.38,1565365.7138357142,1316.0,0.3,1565365.7138357144,966.0,0.49000000000000005,1565365.7138357144,1521.3333333333333,0.3699999999999999,1565365.7138357144
2005,6,280.0,1274.0,0.36,1565365.7138357144,1112498.3244857143,100.8,1778.0,0.43,1565365.7138357142,1470.0,0.38,1565365.7138357142,1316.0,0.3,1565365.7138357144,1507.3333333333333,0.38999999999999985,1565365.7138357144
2005,7,168.0,1148.0,0.06,1565365.7138357144,1112498.3244857143,10.08,1274.0,0.36,1565365.7138357144,1778.0,0.43,1565365.7138357142,1470.0,0.38,1565365.7138357142,1400.0,0.28333333333333316,1565365.7138357144
2005,8,294.0,1764.0,0.12,1565365.7138357142,1112498.3244857143,35.28,1148.0,0.06,1565365.7138357144,1274.0,0.36,1565365.7138357144,1778.0,0.43,1565365.7138357142,1395.3333333333333,0.17999999999999985,1565365.7138357144
2005,9,84.0,1890.0,0.27,1565365.7138357144,1112498.3244857143,22.68,1764.0,0.12,1565365.7138357142,1148.0,0.06,1565365.7138357144,1274.0,0.36,1565365.7138357144,1600.6666666666667,0.14999999999999986,1565365.7138357144
2005,10,336.0,1414.0,-0.15,1565365.7138357142,1112498.3244857143,-50.4,1890.0,0.27,1565365.7138357144,1764.0,0.12,1565365.7138357142,1148.0,0.06,1565365.7138357144,1689.3333333333333,0.07999999999999986,1565365.7138357144
2005,11,266.0,1764.0,-0.11,1565365.7138357144,1112498.3244857143,-29.26,1414.0,-0.15,1565365.7138357142,1890.0,0.27,1565365.7138357144,1764.0,0.12,1565365.7138357142,1689.3333333333333,0.003333333333333193,1565365.7138357144
2005,12,770.0,1974.0,-0.15,1565365.7138357144,1112498.3244857143,-115.5,1764.0,-0.11,1565365.7138357144,1414.0,-0.15,1565365.7138357142,1890.0,0.27,1565365.7138357144,1717.3333333333333,-0.13666666666666683,1565365.7138357144
