,species,year,spawners,runsize
928,Pink,2005,657232.3028,
929,Pink,2006,293551.2791,
930,Pink,2007,412303.3254,
931,Pink,2008,112151.8039,
932,Pink,2009,358903.0554,
933,Pink,2010,482005.5449,
934,Pink,2011,75777.26497,
935,Pink,2012,487973.8945,
936,Pink,2013,628066.3543,
937,Pink,2014,756059.075,
938,Pink,2015,305744.1375,
939,Pink,2016,711958.5277,
940,Pink,2017,506690.7979,
941,Pink,2018,167729.9234,
942,Pink,2019,62638.79206,
943,Pink,2020,327869.4716,
944,Pink,2021,311900.8906,
945,Pink,2022,846054.9653,
965,Chinook,1994,87631.0,
966,Chinook,1995,55615.0,
967,Chinook,1996,103124.0,
968,Chinook,1997,49420.0,
969,Chinook,1998,39343.0,
970,Chinook,1999,48290.0,
971,Chinook,2000,62279.0,
972,Chinook,2001,106165.0,
973,Chinook,2002,38695.0,
974,Chinook,2003,82184.0,
975,Chinook,2004,105887.0,
976,Chinook,2005,56961.0,
977,Chinook,2006,55156.0,
978,Chinook,2007,62320.0,
979,Chinook,2008,44901.0,
980,Chinook,2009,61888.0,
981,Chinook,2010,63977.0,
982,Chinook,2011,28420.0,
983,Chinook,2012,21660.0,
984,Chinook,2013,40772.0,
985,Chinook,2014,43164.0,
986,Chinook,2015,55284.0,
987,Chinook,2016,28238.0,
988,Chinook,2017,14715.0,
989,Chinook,2018,35059.0,
990,Chinook,2019,20193.0,
991,Chinook,2020,16243.0,
992,Chinook,2021,20097.0,
993,Chinook,2022,24724.0,
994,Chinook,2023,26044.0,
1029,Sockeye,1994,1094192.629,2719942.0
1030,Sockeye,1995,1827198.586,5610014.0
1031,Sockeye,1996,1874256.758,7486413.0
1032,Sockeye,1997,952860.4254,3759453.0
1033,Sockeye,1998,538462.6253,1002872.0
1034,Sockeye,1999,677904.584,928244.0
1035,Sockeye,2000,1396651.304,4692242.0
1036,Sockeye,2001,1471781.081,4386714.0
1037,Sockeye,2002,647056.5723,1372525.0
1038,Sockeye,2003,1361375.579,2129047.0
1039,Sockeye,2004,971713.594,1634900.0
1040,Sockeye,2005,741324.1063,1103594.0
1041,Sockeye,2006,1235408.646,2875413.0
1042,Sockeye,2007,1079262.0,2149866.0
1043,Sockeye,2008,895716.4823,2151303.0
1044,Sockeye,2009,777177.1441,1027623.0
1045,Sockeye,2010,704132.0401,956674.0
1046,Sockeye,2011,961944.5615,1931273.0
1047,Sockeye,2012,1198324.157,2260352.0
1048,Sockeye,2013,399578.2393,480045.0
1049,Sockeye,2014,1589999.122,3273806.0
1050,Sockeye,2015,1290919.0,2146293.0
1051,Sockeye,2016,939938.0,1697839.0
1052,Sockeye,2017,921639.5076,1054160.0
1053,Sockeye,2018,1237681.892,1770491.0
1054,Sockeye,2019,577500.1679,822410.0
1055,Sockeye,2020,1321245.228,1688248.0
1056,Sockeye,2021,1120938.611,1726961.0
1057,Sockeye,2022,2490576.0,4338148.0
1096,Steelhead,1994,21866.0,
1097,Steelhead,1995,19554.0,
1098,Steelhead,1996,23409.0,
1099,Steelhead,1997,12714.0,
1100,Steelhead,1998,59022.0,
1101,Steelhead,1999,39363.0,
1102,Steelhead,2000,48741.0,
1103,Steelhead,2001,26373.0,
1104,Steelhead,2002,50297.0,
1105,Steelhead,2003,24422.0,
1106,Steelhead,2004,,
1107,Steelhead,2005,,
1108,Steelhead,2006,27500.0,
1109,Steelhead,2007,,
1110,Steelhead,2008,42440.0,
1111,Steelhead,2009,34180.0,
1112,Steelhead,2010,50489.0,
1113,Steelhead,2011,31809.0,
1114,Steelhead,2012,39964.0,
1115,Steelhead,2013,24256.0,
1116,Steelhead,2014,30250.0,
1117,Steelhead,2015,26553.0,
1118,Steelhead,2016,42439.0,
1119,Steelhead,2017,17078.0,
1120,Steelhead,2018,43238.0,
1121,Steelhead,2019,15606.0,
1122,Steelhead,2020,15280.0,
1123,Steelhead,2021,5164.0,
1124,Steelhead,2022,15204.0,
1125,Steelhead,2023,9295.0,
1150,Chum,1994,7967.0,
1151,Chum,1995,7928.0,
1152,Chum,1996,8404.0,
1153,Chum,1997,22250.0,
1154,Chum,1998,14664.0,
1155,Chum,1999,2650.0,
1156,Chum,2000,4650.0,
1157,Chum,2001,8620.0,
1158,Chum,2002,3060.0,
1159,Chum,2003,1782.0,
1160,Chum,2004,2020.0,
1161,Chum,2005,2335.0,
1162,Chum,2006,685.0,
1163,Chum,2007,474.0,
1164,Chum,2008,510.0,
1165,Chum,2009,1330.0,
1166,Chum,2010,1117.0,
1167,Chum,2011,3705.0,
1168,Chum,2012,2254.0,
1169,Chum,2013,1347.0,
1170,Chum,2014,1028.0,
1171,Chum,2015,,
1172,Chum,2016,,
1173,Chum,2017,700.0,
1174,Chum,2018,856.0,
1175,Chum,2019,1174.0,
1176,Chum,2020,71.0,
1177,Chum,2021,387.0,
1178,Chum,2022,1189.0,
1223,Coho,1994,81102.88197,
1224,Coho,1995,30598.91851,
1225,Coho,1996,26651.99314,
1226,Coho,1997,14456.39896,
1227,Coho,1998,63959.73632,
1228,Coho,1999,100192.2453,
1229,Coho,2000,50988.14034,
1230,Coho,2001,146360.9135,
1231,Coho,2002,73317.47965,
1232,Coho,2003,111131.2109,
1233,Coho,2004,82794.93542,
1234,Coho,2005,187440.0596,
1235,Coho,2006,107723.1079,
1236,Coho,2007,85259.17323,
1237,Coho,2008,48238.54877,
1238,Coho,2009,184614.7906,
1239,Coho,2010,100392.9678,
1240,Coho,2011,67654.82369,
1241,Coho,2012,64655.10821,
1242,Coho,2013,185811.0999,
1243,Coho,2014,156605.0499,
1244,Coho,2015,64552.48683,
1245,Coho,2016,111936.491,
1246,Coho,2017,115042.1567,
1247,Coho,2018,70629.98894,
1248,Coho,2019,83282.47183,
1249,Coho,2020,77628.63133,
1250,Coho,2021,42151.70238,
1251,Coho,2022,88134.0513,
1296,Pink,1994,248829.3925,
1297,Pink,1995,2052400.49,
1298,Pink,1996,2583068.753,
1299,Pink,1997,459031.05,
1300,Pink,1998,292005.7317,
1301,Pink,1999,1014654.46,
1302,Pink,2000,527547.288,
1303,Pink,2001,1379655.732,
1304,Pink,2002,1151739.785,
1305,Pink,2003,2052425.313,
1306,Pink,2004,1022946.123,
1307,Pink,2005,1823125.003,
1308,Pink,2006,183784.5951,
1309,Pink,2007,945540.3722,
1310,Pink,2008,121600.2173,
1311,Pink,2009,3653865.454,
1312,Pink,2010,486908.7311,
1313,Pink,2011,408787.9761,
1314,Pink,2012,377028.8378,
1315,Pink,2013,1759266.13,
1316,Pink,2014,2320555.432,
1317,Pink,2015,373931.2832,
1318,Pink,2016,179488.6781,
1319,Pink,2017,510003.4445,
1320,Pink,2018,23732.1117,
1321,Pink,2019,118027.3773,
1322,Pink,2020,56429.2187,
1323,Pink,2021,1008131.56,
1324,Pink,2022,2132498.62,
1369,Chinook,1994,89400.27821,
1370,Chinook,1995,83568.67019,
1371,Chinook,1996,69190.72439,
1372,Chinook,1997,56026.30892,
1373,Chinook,1998,71752.69011,
1374,Chinook,1999,68290.4399,
1375,Chinook,2000,77371.66816,
1376,Chinook,2001,77438.12589,
1377,Chinook,2002,54688.14904,
1378,Chinook,2003,48683.20812,
1379,Chinook,2004,58700.26661,
1380,Chinook,2005,59522.79796,
1381,Chinook,2006,79411.23825,
1382,Chinook,2007,44815.37721,
1383,Chinook,2008,37254.50933,
1384,Chinook,2009,39516.08865,
1385,Chinook,2010,40318.50032,
1386,Chinook,2011,34661.20722,
1387,Chinook,2012,26392.68133,
1388,Chinook,2013,78928.53086,
1389,Chinook,2014,67476.12229,
1390,Chinook,2015,41564.76769,
1391,Chinook,2016,32071.19085,
1392,Chinook,2017,15974.97274,
1393,Chinook,2018,44883.17266,
1394,Chinook,2019,106014.8472,
1395,Chinook,2020,16056.80326,
1396,Chinook,2021,16446.35604,
1397,Chinook,2022,8879.577475,
1442,Chum,1994,695523.2748,
1443,Chum,1995,922541.812,
1444,Chum,1996,774068.2527,
1445,Chum,1997,644051.5429,
1446,Chum,1998,1459639.704,
1447,Chum,1999,659173.5558,
1448,Chum,2000,579950.789,
1449,Chum,2001,762832.8172,
1450,Chum,2002,1051823.639,
1451,Chum,2003,1458886.749,
1452,Chum,2004,1180207.657,
1453,Chum,2005,697667.9688,
1454,Chum,2006,720738.9115,
1455,Chum,2007,460100.3944,
1456,Chum,2008,213337.6868,
1457,Chum,2009,361431.2433,
1458,Chum,2010,240022.9402,
1459,Chum,2011,945710.5591,
1460,Chum,2012,674616.1553,
1461,Chum,2013,676758.9325,
1462,Chum,2014,391350.769,
1463,Chum,2015,1014378.181,
1464,Chum,2016,718202.6069,
1465,Chum,2017,574950.4964,
1466,Chum,2018,532314.571,
1467,Chum,2019,517004.6482,
1468,Chum,2020,75589.61101,
1469,Chum,2021,317704.4981,
1470,Chum,2022,647668.4561,
1515,Coho,1994,118527.0934,
1516,Coho,1995,149311.2379,
1517,Coho,1996,69739.51555,
1518,Coho,1997,69443.79054,
1519,Coho,1998,393303.7328,
1520,Coho,1999,160196.1507,
1521,Coho,2000,174190.1171,
1522,Coho,2001,430242.6783,
1523,Coho,2002,258607.7878,
1524,Coho,2003,286162.4946,
1525,Coho,2004,263262.7505,
1526,Coho,2005,217186.0956,
1527,Coho,2006,123363.6681,
1528,Coho,2007,125091.6196,
1529,Coho,2008,120875.8815,
1530,Coho,2009,453031.9566,
1531,Coho,2010,198020.0687,
1532,Coho,2011,271520.2588,
1533,Coho,2012,178668.3068,
1534,Coho,2013,188323.4224,
1535,Coho,2014,228390.3387,
1536,Coho,2015,181830.6249,
1537,Coho,2016,174311.9825,
1538,Coho,2017,190609.4841,
1539,Coho,2018,109513.1694,
1540,Coho,2019,82966.3707,
